Ratio                   N_Variance              N_Variance2             N1                      N2                      F                       S_Ent                   S_Ent2                  O_DW                   
0.0251188643150958      0.0040740191398378      0.0040816877515293      1.6597410085745097e-05  1.999983402589913       0.3335463509788450      0.0008458504921085      0.0003054470112025      0.9999723380736961     
0.0316227766016838      0.0051294431053381      0.0051447390415967      2.6310629224255596e-05  1.999973689370778       0.3336710273668657      0.0012883777770005      0.0004678172448548      0.9999561500164081     
0.0398107170553498      0.0064586980208263      0.0064892018051373      4.17133799555738e-05    1.9999582866200416      0.3338687528505954      0.0019593662145944      0.0007165795157891      0.9999304803774302     
0.0501187233627273      0.0081332392571204      0.0081940531352501      6.614606303660778e-05   1.9999338539369556      0.3341824449621381      0.0029749013834043      0.0010985389793969      0.9998897632944552     
0.0630957344480194      0.0102435776648709      0.0103647629471904      0.00010492204417531908  1.9998950779558229      0.3346804131684356      0.0045090085466410      0.0016874437707463      0.9998251468691586     
0.0794328234724282      0.0129047711599659      0.0131460850846400      0.00016651090217625143  1.9998334890978213      0.3354716486494775      0.0068221180244788      0.0026018269831528      0.9997225245132585     
0.1000000000000001      0.0162639082071222      0.0167438942381350      0.00026445882366957224  1.999735541176334       0.3367307196475468      0.0103035382418608      0.0040376043542903      0.9995593430571085     
0.1258925411794169      0.0205107127855327      0.0214638017702638      0.000420548187880981    1.9995794518121137      0.3387388925001502      0.0155352890009027      0.0063306907059336      0.9992993599825051     
0.1584893192461115      0.0258935764161578      0.0277812527415989      0.0006701123119592582   1.9993298876880194      0.3419534780374402      0.0233894695582424      0.0100832361930332      0.9988838575695748     
0.1995262314968882      0.0327484176672613      0.0364728975449611      0.0010713765785205632   1.9989286234214756      0.3471281498663488      0.0351816853281396      0.0164301421218258      0.9982164630190155     
0.2511886431509583      0.0415951772777840      0.0488966054126880      0.0017246221267686827   1.9982753778732227      0.3555290216568445      0.0529407103544413      0.0276380732373938      0.9971357060698028     
0.3162277660168383      0.0539828002045990      0.0680104371974279      0.0028493466702263206   1.9971506533297818      0.3693311607521186      0.0801706810722289      0.0487268591948359      0.9953621134625451     
0.3981071705534976      0.0829840610495524      0.1066763484524792      0.005734150125491473    1.99426584987458        0.3922194729274037      0.1275109380100105      0.0952233003758011      0.9923871448280663     
0.5011872336272728      0.2336670752388380      0.2575647222444252      0.03153870270620696     1.9684612972937658      0.4267683008110758      0.2774296569285241      0.2624581317095235      0.9872137212162931     
0.6309573444801938      0.7461460401015089      0.7605186189959153      0.34013613509666074     1.6598638649035558      0.4211049059189658      0.9315910243255040      0.9800293051740390      0.9776585868459304     
0.7943282347242823      0.9920893589577658      0.9990846804337815      0.8366279604161178      1.163372039584771       0.3991340291877200      1.4261219126944342      1.6186330460892999      0.9588235139200785     
1.0000000000000009      1.0209796321721791      1.0238389086816102      0.9689198402518858      1.0310801597486456      0.5025280493562514      1.6969921348743937      2.0677669608667713      0.9212749263419797     
1.2589254117941684      1.0319940802011462      1.0330008383094575      0.9935206752384276      1.0064793247614456      0.6267848696592062      2.0553393304838004      2.4555573317850716      0.8500329960518589     
1.5848931924611152      1.0216211569025802      1.0219608121764876      0.9984647039459756      1.0015352960543753      0.7497096233694581      2.4864255780214393      2.6888140970244807      0.7252918999519877     
1.9952623149688815      0.9895857798299323      0.9897105506358940      0.9995767973397145      1.0004232026605844      0.8597997182645750      2.7936038929933265      2.7161039826584821      0.5586115834963413     
2.5118864315095828      0.9553250782366313      0.9553797702024736      0.9998530855203472      1.0001469144799962      0.9301375046634316      2.8426371999568087      2.6005807610726976      0.4161889543655654     
3.1622776601683826      0.9325534612679109      0.9325822585902207      0.9999346816595015      1.0000653183405377      0.9649823581532534      2.7640912657579784      2.4827271910913242      0.3261836120413534     
3.9810717055349762      0.9201102794442684      0.9201276786187986      0.9999649733835745      1.0000350266164835      0.9815033558671536      2.6697217075306803      2.4061079926145137      0.2731605481823813     
5.0118723362727273      0.9138225663587553      0.9138340789947222      0.999978744126684       1.0000212558738146      0.9897292494611184      2.5908811488189762      2.3624579707857745      0.2408487084235356     
6.3095734448019378      0.9108578714003930      0.9108659464845951      0.9999860260136162      1.0000139739877083      0.9940802639467256      2.5302056102009645      2.3389818656186887      0.2200743538916319     
7.9432823472428211      0.9096427045658642      0.9096485865489407      0.9999903142088127      1.0000096857908616      0.9964978136285928      2.4843738794399037      2.3270823513556764      0.2060639098331430     
10.0000000000000107     0.9093309047204483      0.9093352976980792      0.9999930401501204      1.000006959849332       0.9978903074156665      2.4497704845041892      2.3216856712806728      0.1962511796803530     
12.5892541179416870     0.9094664737562675      0.9094698107591136      0.999994870927597       1.0000051290717993      0.9987130695703851      2.4235169228927300      2.3198711326582186      0.1891769026489336     
15.8489319246111577     0.9098032017882011      0.9098057666421577      0.9999961508370099      1.0000038491620877      0.9992079883416664      2.4034765927209758      2.3199614405801539      0.1839635843398923     
19.9526231496888293     0.9102095304959267      0.9102115183625198      0.9999970726124898      1.0000029273867432      0.9995094883494534      2.3880877659270343      2.3209954429828792      0.1800568477105987     
25.1188643150958484     0.9106173580435911      0.9106189080122675      0.999997751418527       1.00000224858087        0.9996948233270814      2.3762071552931432      2.3224280048614818      0.1770914674872686     
31.6227766016838565     0.9109938224713322      0.9109950363438977      0.9999982598119064      1.000001740187634       0.9998094938630607      2.3669918777092578      2.3239573974157208      0.1748182823267153     
39.8107170553498122     0.9113254576840031      0.9113264114601833      0.9999986455239084      1.0000013544757627      0.9998807804137386      2.3598151731828541      2.3254244852734232      0.1730623384851183     
