Ratio                   N_Variance              N_Variance2             N1                      N2                      F                       S_Ent                   S_Ent2                  O_DW                   
0.0050118723362727      0.0141810484109373      0.0141810484109295      0.9999999999999953      0.9999999999999971      0.2602548100642769      0.0055169258031448      0.0031623899811976      0.0001005123867566     
0.0063095734448019      0.0178567990868934      0.0178567990868996      0.9999999999999957      1.0000000000000036      0.2629873858815777      0.0083216446944939      0.0048025929287298      0.0001593355035928     
0.0079432823472428      0.0224881746484185      0.0224881746484383      0.9999999999999939      1.0000000000000067      0.2664741962201496      0.0125207763058246      0.0072812489176228      0.0002526151204273     
0.0100000000000000      0.0283264315150411      0.0283264315151352      0.9999999999999741      1.0000000000000278      0.2709392583757733      0.0187870574456292      0.0110201546769763      0.0004005811985064     
0.0125892541179417      0.0356915982737291      0.0356915982739126      0.9999999999999397      1.000000000000055       0.2766827164335418      0.0281044478646477      0.0166503040284194      0.0006354091488878     
0.0158489319246112      0.0449937921489733      0.0449937921498789      0.9999999999996725      1.0000000000003177      0.2841123004393316      0.0419034456960370      0.0251153629034518      0.0010083695368856     
0.0199526231496888      0.0567631424200166      0.0567631424200303      0.9999999999999943      1.0000000000000053      0.2937906002575489      0.0622492871840750      0.0378276979674948      0.0016013818270166     
0.0251188643150958      0.0716927536840544      0.0716927536840482      0.9999999999999983      0.999999999999997       0.3065067872376703      0.0920981654067425      0.0569049109451387      0.0025458126084092     
0.0316227766016839      0.0907006450907966      0.0907006450907905      0.9999999999999803      1.0000000000000155      0.3233847171265811      0.1356314696853313      0.0855271297431856      0.0040532092392250     
0.0398107170553498      0.1150150813984459      0.1150150813981727      1.0000000000000342      0.9999999999999294      0.3460388894494051      0.1986468213774712      0.1284586586199143      0.0064652683647337     
0.0501187233627274      0.1462719844055254      0.1462719844053774      1.000000000000062       0.9999999999999054      0.3767690463351723      0.2888651127861153      0.1927190281818928      0.0103319910425881     
0.0630957344480195      0.1865497749253693      0.1865497749253455      1.0000000000000002      0.999999999999999       0.4186897170397079      0.4156355235155441      0.2880860692456794      0.0165179318299819     
0.0794328234724284      0.2380859795546148      0.2380859795545411      0.9999999999999725      0.9999999999999959      0.4753949810837593      0.5875932272139689      0.4261303899521841      0.0262809075042516     
0.1000000000000003      0.3021099761784408      0.3021099761787370      0.9999999999996482      1.0000000000002045      0.5491837349502715      0.8056897740436503      0.6146049355009925      0.0410904742944320     
0.1258925411794171      0.3764059751974488      0.3764059751970181      1.00000000000029        0.9999999999997294      0.6370061598204750      1.0518819926206808      0.8447932334276226      0.0617287308872453     
0.1584893192461118      0.4535436328059591      0.4535436328059241      1.0000000000000406      0.9999999999999654      0.7273030717176230      1.2874283535894833      1.0828934843855178      0.0868146687515489     
0.1995262314968885      0.5240464785509138      0.5240464785506052      1.0000000000002511      0.9999999999997485      0.8054290861002593      1.4772702566920803      1.2885038196350715      0.1127955954700850     
0.2511886431509587      0.5825805751527174      0.5825805751540827      0.9999999999991401      1.0000000000008684      0.8641506905308427      1.6141542677235330      1.4446570706347457      0.1363977091880213     
0.3162277660168387      0.6293363874354466      0.6293363874359506      0.9999999999998036      1.000000000000216       0.9051822428481192      1.7103685020480428      1.5584093516545652      0.1563317213552294     
0.3981071705534983      0.6669378414987691      0.6669378414989668      0.9999999999998217      1.0000000000001867      0.9334304439719128      1.7798068531536533      1.6432517474422070      0.1727413770094124     
0.5011872336272735      0.6979421360132990      0.6979421360119012      1.0000000000008433      0.9999999999991319      0.9531181982439125      1.8317284122829387      1.7094912526263224      0.1862098263907244     
0.6309573444801948      0.7241184523253226      0.7241184523254054      1.0000000000000213      0.9999999999999793      0.9670492670288054      1.8716089998272840      1.7632863050972174      0.1973044330265877     
0.7943282347242835      0.7465505025690415      0.7465505025690489      1.0000000000000357      0.9999999999999696      0.9769846853547992      1.9028022237024866      1.8080743587734054      0.2064818749308691     
1.0000000000000024      0.7658903103234395      0.7658903103235484      1.0000000000000286      0.9999999999999777      0.9840668664960284      1.9275179059446661      1.8458205744290779      0.2140992858490078     
1.2589254117941704      0.7825555521459837      0.7825555521458311      1.0000000000000324      0.9999999999999679      0.9890817490965951      1.9472940896224229      1.8777481928267032      0.2204370368184879     
1.5848931924611174      0.7968492049337366      0.7968492049336996      1.0000000000000095      0.9999999999999891      0.9925965562133523      1.9632344566430580      1.9047140698337006      0.2257162546158580     
1.9952623149688846      0.8090233481001897      0.8090233481000851      1.0000000000000062      0.9999999999999933      0.9950308095549710      1.9761468254126551      1.9273910190314314      0.2301123874480817     
2.5118864315095868      0.8193091761662420      0.8193091761662299      1.0000000000000062      0.9999999999999989      0.9966961207707873      1.9866345177212767      1.9463524766613269      0.2337664958141907     
3.1622776601683875      0.8279281307104617      0.8279281307104441      1.0000000000000047      0.9999999999999959      0.9978219885851151      1.9951591387804064      1.9621090767283564      0.2367943782706733     
3.9810717055349825      0.8350933203015259      0.8350933203014528      1.0000000000000298      0.9999999999999682      0.9985749048326187      2.0020830714536175      1.9751222822481955      0.2392932921621767     
5.0118723362727353      0.8410067635166483      0.8410067635166141      1.000000000000015       0.9999999999999878      0.9990735409190750      2.0076973589458706      1.9858080295884475      0.2413464151884246     
6.3095734448019476      0.8458556729135626      0.8458556729135492      1.0000000000000044      0.9999999999999986      0.9994009905853453      2.0122396398260833      1.9945370481615583      0.2430255751803432     
7.9432823472428336      0.8498094402748834      0.8498094402748742      1.0                     0.999999999999999       0.9996144743467495      2.0159057865161687      2.0016350411494392      0.2443928834687109     
